CompA	CompB	Pairs	PredictedScore	Structure	GeneExpr	PMID	Maps	Target	Path	ATC
quinostatin	Sunitinib	quinostatin_Sunitinib	0.2507	0.2404	0.5529	0	NA	NA	NA	NA
Erlotinib	gefitinib	Erlotinib_gefitinib	0.2488	0.1339	0.551	0	0	0	0.5714	0.8
Dasatinib	fluphenazine	Dasatinib_fluphenazine	0.2463	0.0623	0.5909	0	0	0	0	NA
Erlotinib	puromycin	Erlotinib_puromycin	0.2461	0.1323	0.574	0	NA	0	0	NA
Erlotinib	phenoxybenzamine	Erlotinib_phenoxybenzamine	0.2458	0.1324	0.5738	0	NA	0	0	NA
Erlotinib	syrosingopine	Erlotinib_syrosingopine	0.2455	0.1525	0.5696	0	NA	0	0	NA
benzethonium chloride	Sunitinib	benzethonium chloride_Sunitinib	0.2451	0.1419	0.5715	0	NA	0	0	NA
Dasatinib	resveratrol	Dasatinib_resveratrol	0.2449	0.0832	0.5825	0	NA	NA	NA	NA
methylbenzethonium chloride	Sunitinib	methylbenzethonium chloride_Sunitinib	0.2442	0.0758	0.5842	0	NA	NA	NA	NA
fluphenazine	Sunitinib	fluphenazine_Sunitinib	0.2434	0.1139	0.5768	0	0	0	0	NA
mefloquine	Sunitinib	mefloquine_Sunitinib	0.2423	0.1496	0.5688	0	0	0	0	NA
benzamil	Erlotinib	benzamil_Erlotinib	0.2403	0.1404	0.5666	0	NA	NA	NA	NA
loperamide	Sunitinib	loperamide_Sunitinib	0.24	0.1559	0.566	0	NA	0	0	NA
maprotiline	Sunitinib	maprotiline_Sunitinib	0.2396	0.2345	0.5518	0	0	0	0	NA
niclosamide	Sunitinib	niclosamide_Sunitinib	0.2388	0.04	0.5927	0	NA	0	0	NA
15-delta prostaglandin J2	Erlotinib	15-delta prostaglandin J2_Erlotinib	0.2387	0.1295	0.5656	NA	NA	NA	NA	NA
Erlotinib	maprotiline	Erlotinib_maprotiline	0.2367	0.2639	0.5452	0	0	0	0	NA
prochlorperazine	Sunitinib	prochlorperazine_Sunitinib	0.236	0.1723	0.5611	0	0	0	0	NA
Erlotinib	tanespimycin	Erlotinib_tanespimycin	0.2357	0.1808	0.5591	0	NA	0	0	NA
5224221	Sunitinib	5224221_Sunitinib	0.2355	0.252	0.5405	NA	NA	NA	NA	NA
staurosporine	Sunitinib	staurosporine_Sunitinib	0.2354	0.2046	0.5515	0	NA	NA	NA	NA
irinotecan	Sunitinib	irinotecan_Sunitinib	0.234	0.1946	0.5475	0	0	0	0	0.6
sirolimus	Sunitinib	sirolimus_Sunitinib	0.234	0.0197	0.5958	0	NA	NA	NA	NA
0175029-0000	Sunitinib	0175029-0000_Sunitinib	0.2339	NA	0.5698	NA	NA	NA	NA	NA
Erlotinib	fluphenazine	Erlotinib_fluphenazine	0.2331	0.0626	0.5838	0	0	0	0	NA
Dasatinib	mefloquine	Dasatinib_mefloquine	0.2329	0.1158	0.571	0	0	0	0	NA
Erlotinib	irinotecan	Erlotinib_irinotecan	0.2327	0.2172	0.5395	0	0	0	0	0.6
Erlotinib	loperamide	Erlotinib_loperamide	0.2321	0.1071	0.5721	0	NA	0	0	NA
0297417-0002B	Erlotinib	0297417-0002B_Erlotinib	0.2319	NA	0.5688	NA	NA	NA	NA	NA
Dasatinib	tonzonium bromide	Dasatinib_tonzonium bromide	0.2316	0.1603	0.5582	NA	NA	0	0	NA
astemizole	Sunitinib	astemizole_Sunitinib	0.2313	0.1002	0.5736	0	0	0	0	NA
0175029-0000	Dasatinib	0175029-0000_Dasatinib	0.2304	NA	0.5681	NA	NA	NA	NA	NA
benzamil	Sunitinib	benzamil_Sunitinib	0.2296	0.1476	0.5598	0	NA	NA	NA	NA
0297417-0002B	Sunitinib	0297417-0002B_Sunitinib	0.2271	NA	0.5665	NA	NA	NA	NA	NA
Sunitinib	vorinostat	Sunitinib_vorinostat	0.2268	0.1403	0.5598	0	NA	0	0.2	0.6
Sunitinib	tonzonium bromide	Sunitinib_tonzonium bromide	0.2257	0.1167	0.5643	NA	NA	0	0	NA
erastin	Erlotinib	erastin_Erlotinib	0.2255	0.1025	0.568	0	NA	NA	NA	NA
metixene	Sunitinib	metixene_Sunitinib	0.2252	0.234	0.5412	0	NA	NA	NA	NA
Dasatinib	syrosingopine	Dasatinib_syrosingopine	0.2243	0.1342	0.5625	0	NA	0	0	NA
Erlotinib	pimozide	Erlotinib_pimozide	0.2238	0.1471	0.5599	0	0	0	0	NA
ciclopirox	Erlotinib	ciclopirox_Erlotinib	0.2237	0.2496	0.5408	0	NA	0	0	NA
geldanamycin	Sunitinib	geldanamycin_Sunitinib	0.2235	0.1618	0.554	0	NA	NA	NA	NA
imatinib	Sunitinib	imatinib_Sunitinib	0.2226	0.1429	0.5016	0	1	0.0909	0.2857	0.8
Erlotinib	luteolin	Erlotinib_luteolin	0.2209	0.2846	0.5304	0	NA	NA	NA	NA
mebendazole	Sunitinib	mebendazole_Sunitinib	0.2201	0.1915	0.5494	0	NA	0	0	NA
Erlotinib	staurosporine	Erlotinib_staurosporine	0.22	0.1888	0.5471	0	NA	NA	NA	NA
rottlerin	Sunitinib	rottlerin_Sunitinib	0.2199	0.1861	0.5475	0	NA	NA	NA	NA
benzethonium chloride	Dasatinib	benzethonium chloride_Dasatinib	0.2193	0.1111	0.565	0	NA	0	0	NA
Erlotinib	terfenadine	Erlotinib_terfenadine	0.2182	0.1209	0.5627	0	0	0	0	NA
dequalinium chloride	Erlotinib	dequalinium chloride_Erlotinib	0.2176	0.1039	0.5658	0	NA	0	0	NA
cloperastine	Erlotinib	cloperastine_Erlotinib	0.2166	0.1136	0.5632	0	NA	0	0	NA
Sunitinib	tyrphostin AG-1478	Sunitinib_tyrphostin AG-1478	0.2161	0.1862	0.5457	0	NA	NA	NA	NA
ciclosporin	Erlotinib	ciclosporin_Erlotinib	0.2144	0.1314	0.5526	0	0	0	0	0.2
azacitidine	Erlotinib	azacitidine_Erlotinib	0.2139	0.0754	0.5725	0	0	0	0	0.4
Dasatinib	staurosporine	Dasatinib_staurosporine	0.2135	0.1355	0.5549	0	NA	NA	NA	NA
econazole	Erlotinib	econazole_Erlotinib	0.2128	0.1921	0.5461	0	0	0	0	NA
rescinnamine	Sunitinib	rescinnamine_Sunitinib	0.2126	0.1763	0.5486	0	NA	0	0	NA
Dasatinib	methylbenzethonium chloride	Dasatinib_methylbenzethonium chloride	0.2125	0.0639	0.572	0	NA	NA	NA	NA
azacitidine	Sunitinib	azacitidine_Sunitinib	0.2123	0.1105	0.5604	0	0	0	0	0.4
phenoxybenzamine	Sunitinib	phenoxybenzamine_Sunitinib	0.212	0.0864	0.5672	0	NA	0	0	NA
Erlotinib	geldanamycin	Erlotinib_geldanamycin	0.2116	0.1755	0.5457	0	NA	NA	NA	NA
Erlotinib	valinomycin	Erlotinib_valinomycin	0.2112	0.0167	0.5856	0	NA	NA	NA	NA
luteolin	Sunitinib	luteolin_Sunitinib	0.2111	0.181	0.5444	0	NA	NA	NA	NA
prenylamine	Sunitinib	prenylamine_Sunitinib	0.2098	0.1178	0.5591	0	NA	0	0	NA
Dasatinib	loperamide	Dasatinib_loperamide	0.2094	0.1292	0.5565	0	NA	0	0	NA
Sunitinib	tamoxifen	Sunitinib_tamoxifen	0.2092	0.1776	0.5388	0	0	0	0	0.2
alexidine	Dasatinib	alexidine_Dasatinib	0.2092	0.0846	0.5664	0	NA	0	0	NA
nocodazole	Sunitinib	nocodazole_Sunitinib	0.2089	0.1452	0.5529	0	NA	0	0	NA
0175029-0000	Erlotinib	0175029-0000_Erlotinib	0.2088	NA	0.5582	NA	NA	NA	NA	NA
Erlotinib	perphenazine	Erlotinib_perphenazine	0.2087	0.1884	0.5448	0	0	0	0	NA
Dasatinib	pyrvinium	Dasatinib_pyrvinium	0.208	0.1065	0.5607	0	NA	0	0	NA
Erlotinib	nortriptyline	Erlotinib_nortriptyline	0.2076	0.2515	0.5331	0	0	0	0	NA
H-7	Sunitinib	H-7_Sunitinib	0.2076	0.199	0.5393	0	NA	NA	NA	NA
nortriptyline	Sunitinib	nortriptyline_Sunitinib	0.2074	0.2224	0.5381	0	0	0	0	NA
benzamil	Dasatinib	benzamil_Dasatinib	0.2073	0.1496	0.549	0	NA	NA	NA	NA
Erlotinib	papaverine	Erlotinib_papaverine	0.2068	0.3499	0.5159	0	NA	0	0	NA
clomipramine	Erlotinib	clomipramine_Erlotinib	0.2064	0.1874	0.5439	0	0	0	0	NA
5707885	Dasatinib	5707885_Dasatinib	0.2062	0.1486	0.5464	NA	NA	NA	NA	NA
AG-013608	Erlotinib	AG-013608_Erlotinib	0.205	NA	0.5564	NA	NA	NA	NA	NA
Erlotinib	piperlongumine	Erlotinib_piperlongumine	0.205	0.2434	0.53	0	NA	NA	NA	NA
Erlotinib	MS-275	Erlotinib_MS-275	0.205	0.2174	0.5286	0	NA	0	0.1429	NA
deptropine	Erlotinib	deptropine_Erlotinib	0.2049	0.1944	0.5416	0	NA	0	0	NA
Erlotinib	rescinnamine	Erlotinib_rescinnamine	0.2047	0.1744	0.5453	0	NA	0	0	NA
Erlotinib	trimipramine	Erlotinib_trimipramine	0.2047	0.1728	0.5459	0	0	0	0	NA
ciclopirox	Sunitinib	ciclopirox_Sunitinib	0.2046	0.2721	0.5279	0	NA	0	0	NA
harmine	Sunitinib	harmine_Sunitinib	0.2043	0.1536	0.5467	0	NA	NA	NA	NA
Erlotinib	fluspirilene	Erlotinib_fluspirilene	0.2042	0.1552	0.5491	0	0	0	0	NA
15-delta prostaglandin J2	Sunitinib	15-delta prostaglandin J2_Sunitinib	0.2041	0.1399	0.5473	NA	NA	NA	NA	NA
Dasatinib	monorden	Dasatinib_monorden	0.2037	0.1296	0.5517	0	NA	NA	NA	NA
Dasatinib	perphenazine	Dasatinib_perphenazine	0.2029	0.2208	0.5362	0	0	0	0	NA
Dasatinib	MS-275	Dasatinib_MS-275	0.2023	0.1859	0.5345	0	NA	0	0.1429	NA
celastrol	Erlotinib	celastrol_Erlotinib	0.2023	0.239	0.5295	0	NA	NA	NA	NA
piperlongumine	Sunitinib	piperlongumine_Sunitinib	0.2023	0.1982	0.537	0	NA	NA	NA	NA
Dasatinib	H-7	Dasatinib_H-7	0.2021	0.1759	0.5412	0	NA	NA	NA	NA
puromycin	Sunitinib	puromycin_Sunitinib	0.2021	0.1102	0.5572	0	NA	0	0	NA
Erlotinib	thapsigargin	Erlotinib_thapsigargin	0.2021	0.0992	0.558	0	NA	NA	NA	NA
pimozide	Sunitinib	pimozide_Sunitinib	0.2013	0.1581	0.5472	0	0	0	0	NA
raloxifene	Sunitinib	raloxifene_Sunitinib	0.2009	0.1385	0.5509	0	0	0	0	NA
Erlotinib	ivermectin	Erlotinib_ivermectin	0.2009	0.0663	0.5672	0	NA	0	0	NA
Erlotinib	etamsylate	Erlotinib_etamsylate	0.2008	0.4	0.5048	0	NA	0	0	NA
Erlotinib	naftifine	Erlotinib_naftifine	0.1999	0.1734	0.5435	0	0	0	0	NA
perphenazine	Sunitinib	perphenazine_Sunitinib	0.199	0.1736	0.5431	0	0	0	0	NA
Dasatinib	raloxifene	Dasatinib_raloxifene	0.1987	0.0861	0.5615	0	0	0	0	NA
Dasatinib	piperacetazine	Dasatinib_piperacetazine	0.1986	0.2487	0.5291	0	NA	0	0	NA
Erlotinib	zuclopenthixol	Erlotinib_zuclopenthixol	0.1982	0.1978	0.5379	0	NA	0	0	NA
Erlotinib	protriptyline	Erlotinib_protriptyline	0.1976	0.1873	0.5396	0	NA	0	0	NA
clioquinol	Erlotinib	clioquinol_Erlotinib	0.1975	0.1027	0.5567	0	NA	0	0	NA
CP-320650-01	Dasatinib	CP-320650-01_Dasatinib	0.1974	NA	0.553	NA	NA	NA	NA	NA
doxorubicin	Sunitinib	doxorubicin_Sunitinib	0.1972	0.1362	0.5453	0	0	0	0	0.4
Sunitinib	zuclopenthixol	Sunitinib_zuclopenthixol	0.1971	0.1884	0.5391	0	NA	0	0	NA
monorden	Sunitinib	monorden_Sunitinib	0.197	0.1424	0.5458	0	NA	NA	NA	NA
Dasatinib	valproic acid	Dasatinib_valproic acid	0.1965	0.0306	0.5766	0	0	0	0.0833	NA
Erlotinib	ionomycin	Erlotinib_ionomycin	0.1961	0.0947	0.5565	0	NA	NA	NA	NA
Dasatinib	Prestwick-559	Dasatinib_Prestwick-559	0.1959	0.1978	0.5317	NA	NA	NA	NA	NA
antimycin A	Erlotinib	antimycin A_Erlotinib	0.1957	0.0277	0.5751	0	NA	NA	NA	NA
Erlotinib	phenazopyridine	Erlotinib_phenazopyridine	0.1957	0.1535	0.5451	0	NA	0	0	NA
alvespimycin	Dasatinib	alvespimycin_Dasatinib	0.1957	0.0803	0.5612	0	NA	0	0	NA
Dasatinib	dihydroergocristine	Dasatinib_dihydroergocristine	0.1957	0.1277	0.5504	0	NA	0	0	NA
PHA-00665752	Sunitinib	PHA-00665752_Sunitinib	0.1955	0.3143	0.5109	NA	NA	NA	NA	NA
Erlotinib	thioguanosine	Erlotinib_thioguanosine	0.1951	0.0719	0.5619	0	NA	NA	NA	NA
azacyclonol	Erlotinib	azacyclonol_Erlotinib	0.1946	0.1054	0.5531	0	NA	NA	NA	NA
Erlotinib	lasalocid	Erlotinib_lasalocid	0.1943	0.278	0.519	0	NA	NA	NA	NA
Dasatinib	lovastatin	Dasatinib_lovastatin	0.1939	0.1862	0.5383	0	0	0	0	NA
AG-013608	Dasatinib	AG-013608_Dasatinib	0.1933	NA	0.5511	NA	NA	NA	NA	NA
Dasatinib	norcyclobenzaprine	Dasatinib_norcyclobenzaprine	0.1932	0.1096	0.5514	0	NA	NA	NA	NA
Dasatinib	maprotiline	Dasatinib_maprotiline	0.1927	0.1878	0.5375	0	0	0	0	NA
Erlotinib	menadione	Erlotinib_menadione	0.1926	0.3067	0.5163	0	NA	0	0	NA
chlorhexidine	Erlotinib	chlorhexidine_Erlotinib	0.1925	0.1663	0.5411	0	NA	0	0	NA
Erlotinib	tetrandrine	Erlotinib_tetrandrine	0.1917	0.2171	0.5285	0	NA	NA	NA	NA
(-)-isoprenaline	Dasatinib	(-)-isoprenaline_Dasatinib	0.1916	0.0978	0.5555	0	0	0	0	NA
astemizole	Dasatinib	astemizole_Dasatinib	0.1916	0.069	0.5626	0	0	0	0	NA
nifuroxazide	Sunitinib	nifuroxazide_Sunitinib	0.1915	0.0866	0.5578	0	NA	0	0	NA
chlorpromazine	Erlotinib	chlorpromazine_Erlotinib	0.1915	0.1395	0.5463	0	0	0	0	NA
Dasatinib	latamoxef	Dasatinib_latamoxef	0.1912	0.1202	0.55	0	NA	0	0	NA
Prestwick-559	Sunitinib	Prestwick-559_Sunitinib	0.191	0.2131	0.5265	NA	NA	NA	NA	NA
Dasatinib	pergolide	Dasatinib_pergolide	0.1908	0.1309	0.5478	0	0	0	0	NA
Dasatinib	ifosfamide	Dasatinib_ifosfamide	0.1907	0.2891	0.4955	0	0	0	0	0.4
erastin	Sunitinib	erastin_Sunitinib	0.1905	0.0975	0.5532	0	NA	NA	NA	NA
5666823	Erlotinib	5666823_Erlotinib	0.1902	0.232	0.5227	NA	NA	NA	NA	NA
Sunitinib	terfenadine	Sunitinib_terfenadine	0.1902	0.0952	0.5555	0	0	0	0	NA
famprofazone	Sunitinib	famprofazone_Sunitinib	0.1899	0.2364	0.5242	0	NA	NA	NA	NA
Dasatinib	phenazopyridine	Dasatinib_phenazopyridine	0.1898	0.0946	0.5551	0	NA	0	0	NA
Erlotinib	H-7	Erlotinib_H-7	0.1894	0.169	0.5367	0	NA	NA	NA	NA
Dasatinib	tyrphostin AG-1478	Dasatinib_tyrphostin AG-1478	0.1893	0.1878	0.5329	0	NA	NA	NA	NA
Erlotinib	norcyclobenzaprine	Erlotinib_norcyclobenzaprine	0.1887	0.1294	0.5448	0	NA	NA	NA	NA
Erlotinib	latamoxef	Erlotinib_latamoxef	0.1886	0.161	0.5403	0	NA	0	0	NA
Dasatinib	scriptaid	Dasatinib_scriptaid	0.1885	0.0728	0.5587	0	NA	NA	NA	NA
Erlotinib	spiperone	Erlotinib_spiperone	0.188	0.1248	0.5478	0	0	0	0	NA
Erlotinib	MG-262	Erlotinib_MG-262	0.1875	0.1732	0.5349	0	NA	NA	NA	NA
piperacetazine	Sunitinib	piperacetazine_Sunitinib	0.1873	0.2247	0.5279	0	NA	0	0	NA
Erlotinib	isotretinoin	Erlotinib_isotretinoin	0.1871	0.1853	0.5353	0	0	0	0	NA
fluspirilene	Sunitinib	fluspirilene_Sunitinib	0.187	0.1458	0.543	0	0	0	0	NA
co-dergocrine mesilate	Dasatinib	co-dergocrine mesilate_Dasatinib	0.1869	0.0401	0.5679	0	NA	0	0	NA
bromocriptine	Erlotinib	bromocriptine_Erlotinib	0.1868	0.1535	0.5413	0	0	0	0	NA
Erlotinib	lovastatin	Erlotinib_lovastatin	0.1867	0.2401	0.5252	0	0	0	0	NA
Dasatinib	tamoxifen	Dasatinib_tamoxifen	0.1866	0.1455	0.5362	0	0	0	0	0.2
5114445	Sunitinib	5114445_Sunitinib	0.1866	0.1589	0.535	NA	NA	NA	NA	NA
econazole	Sunitinib	econazole_Sunitinib	0.1865	0.1848	0.5351	0	0	0	0	NA
protriptyline	Sunitinib	protriptyline_Sunitinib	0.1864	0.1374	0.5441	0	NA	0	0	NA
Erlotinib	quinisocaine	Erlotinib_quinisocaine	0.1863	0.2188	0.5285	0	NA	0	0	NA
ionomycin	Sunitinib	ionomycin_Sunitinib	0.1862	0.1745	0.5341	0	NA	NA	NA	NA
Erlotinib	metixene	Erlotinib_metixene	0.1862	0.1573	0.5376	0	NA	NA	NA	NA
Dasatinib	zuclopenthixol	Dasatinib_zuclopenthixol	0.1858	0.2259	0.527	0	NA	0	0	NA
chlorpromazine	Sunitinib	chlorpromazine_Sunitinib	0.1856	0.1603	0.5394	0	0	0	0	NA
Dasatinib	dihydroergotamine	Dasatinib_dihydroergotamine	0.1852	0.1114	0.5494	0	0	0	0	NA
monastrol	Sunitinib	monastrol_Sunitinib	0.1852	0.1968	0.5292	0	NA	NA	NA	NA
norcyclobenzaprine	Sunitinib	norcyclobenzaprine_Sunitinib	0.185	0.1156	0.5463	0	NA	NA	NA	NA
Erlotinib	mebendazole	Erlotinib_mebendazole	0.1847	0.1964	0.5318	0	NA	0	0	NA
Dasatinib	terfenadine	Dasatinib_terfenadine	0.1846	0.1064	0.5503	0	0	0	0	NA
Dasatinib	tetrandrine	Dasatinib_tetrandrine	0.1844	0.1425	0.5399	0	NA	NA	NA	NA
nifedipine	Sunitinib	nifedipine_Sunitinib	0.1844	0.207	0.5206	0	0	0	0.1667	NA
Erlotinib	trichostatin A	Erlotinib_trichostatin A	0.1843	0.1335	0.5418	0	NA	NA	NA	NA
Dasatinib	tretinoin	Dasatinib_tretinoin	0.1841	0.157	0.5382	0	0	0	0	0.6
Erlotinib	galantamine	Erlotinib_galantamine	0.1837	0.3892	0.4988	0	0	0	0	NA
clotrimazole	Erlotinib	clotrimazole_Erlotinib	0.1837	0.0663	0.5597	0	0	0	0	NA
Erlotinib	Prestwick-665	Erlotinib_Prestwick-665	0.1827	0.2321	0.519	NA	NA	NA	NA	NA
Dasatinib	PHA-00665752	Dasatinib_PHA-00665752	0.1825	0.2765	0.511	NA	NA	NA	NA	NA
Erlotinib	nifuroxazide	Erlotinib_nifuroxazide	0.1824	0.0745	0.5566	0	NA	0	0	NA
mycophenolic acid	Sunitinib	mycophenolic acid_Sunitinib	0.1823	0.2092	0.5187	0	0	0	0	0.2
Dasatinib	nortriptyline	Dasatinib_nortriptyline	0.1823	0.1602	0.5378	0	0	0	0	NA
clofazimine	Erlotinib	clofazimine_Erlotinib	0.1818	0.2378	0.523	0	NA	0	0	NA
camptothecin	Sunitinib	camptothecin_Sunitinib	0.1817	0.0463	0.5632	0	NA	NA	NA	NA
doxorubicin	Erlotinib	doxorubicin_Erlotinib	0.1816	0.1401	0.5369	0	0	0	0	0.4
Erlotinib	semustine	Erlotinib_semustine	0.1815	0.131	0.54	0	0	0	0	0.4
colforsin	Dasatinib	colforsin_Dasatinib	0.1812	0.1048	0.5488	0	NA	0	0	NA
Erlotinib	metitepine	Erlotinib_metitepine	0.181	0.184	0.5297	0	NA	NA	NA	NA
Erlotinib	sulconazole	Erlotinib_sulconazole	0.1809	0.1524	0.5387	0	0	0	0	NA
azacyclonol	Sunitinib	azacyclonol_Sunitinib	0.1808	0.1261	0.5419	0	NA	NA	NA	NA
Erlotinib	monastrol	Erlotinib_monastrol	0.1808	0.1595	0.5345	0	NA	NA	NA	NA
Erlotinib	methotrexate	Erlotinib_methotrexate	0.1806	0.0624	0.5605	0	0	0	0	0.3
clomifene	Erlotinib	clomifene_Erlotinib	0.1804	0.1021	0.5494	0	0	0	0	NA
Erlotinib	reserpine	Erlotinib_reserpine	0.1804	0.1716	0.5344	0	NA	0	0	NA
Erlotinib	promazine	Erlotinib_promazine	0.1803	0.1732	0.5344	0	0	0	0	NA
0173570-0000	Dasatinib	0173570-0000_Dasatinib	0.1802	NA	0.545	NA	NA	NA	NA	NA
Dasatinib	imatinib	Dasatinib_imatinib	0.18	0.1114	0.4832	0	1	0.1	0.375	0.8
clomifene	Dasatinib	clomifene_Dasatinib	0.18	0.1162	0.546	0	0	0	0	NA
etoposide	Sunitinib	etoposide_Sunitinib	0.1798	0.1314	0.5391	0	0	0	0	0.4
Dasatinib	fluspirilene	Dasatinib_fluspirilene	0.1794	0.1343	0.5417	0	0	0	0	NA
